,STATEFP,COUNTYFP,ALAND,AWATER
446,41,069,4444475020,1241033
447,27,117,1204488112,2348855
448,41,013,7715303368,21091928
449,27,031,3761649142,4887913854
450,27,147,1112775685,6976791
451,38,077,3718608510,25035911
452,29,059,1401057565,4909182
453,17,017,973191108,20570537
454,31,169,1486153243,3025339
455,31,013,2784994716,6588657
456,18,063,1053849359,4880838
457,13,233,803751986,4688356
458,72,057,168331806,108323975
459,31,091,1867796137,882994
460,18,149,800679814,7929139
461,29,221,1968043965,6791220
462,29,115,1594365083,14991074
463,20,201,2317418140,10139803
464,22,037,1174307241,6151756
465,55,103,1518120259,8153438
466,22,049,1474195901,28714912
467,29,017,1600363403,8531303
468,51,720,19366113,89335
469,48,267,3240035980,493584
470,29,067,2107274068,2520175
471,48,115,2331781560,4720730
472,48,317,2369724590,1931832
473,29,083,1805075851,91636438
474,40,031,2769447439,37331078
475,29,123,1280458091,8318261
476,48,353,2362061743,5052159
477,48,421,2390651137,428754
478,17,191,1848948304,4224962
479,19,121,1452999207,2983840
480,17,199,1088263100,62602559
481,17,035,895929073,2529531
482,39,159,1118226926,13266460
483,39,165,1039231411,15686549
484,39,047,1052469899,1694038
485,48,483,2368603579,2481258
486,39,063,1376094842,6075215
487,48,493,2081662854,12111365
488,39,027,1058489017,9349888
489,48,011,2354581675,12219583
490,39,041,1147779363,36698376
491,39,055,1036775608,20699574
492,40,043,2588653262,22668830
493,48,285,2511535251,1882216
494,13,289,930477275,8741054
495,20,077,2075290355,3899269
496,19,017,1127885577,10166467
497,27,093,1574889102,95071910
498,40,105,1465358446,38869450
499,39,003,1042479885,11259523
500,48,413,3394546070,87401
501,27,165,1126526388,12370135
502,40,111,1806123426,12915765
503,20,153,2769775713,415527
504,51,043,455664152,5690611
505,38,041,2932439645,4008872
506,55,035,1652211289,18848534
507,02,240,64290686975,751965527
508,19,087,1124799690,5773350
509,19,171,1867410528,2769418
510,18,057,1021307228,20999506
511,38,047,2571326089,47715595
512,39,091,1187364299,21570908
513,29,167,1646006162,17837927
514,45,045,2033302113,25157359
515,06,057,2480587324,41531993
516,20,027,1671314213,26701335
517,20,065,2327173853,599356
518,20,101,1858080226,551220
519,46,029,1780837054,76608850
520,54,101,1433481442,7144590
521,28,003,1036110423,3408033
522,29,035,1314052416,4305011
523,18,071,1320827176,10183339
524,40,009,2335695176,5513622
525,48,429,2322497227,64147707
526,48,341,2330207187,25699789
527,20,025,2524300311,6603384
528,38,075,2271556751,40648324
529,29,159,1766953615,10501027
530,18,053,1072463262,2123016
531,31,075,2012081438,16460163
532,47,113,1442901118,3930432
533,51,670,26818721,1228128
534,20,131,1858127941,5205446
535,27,119,5105054568,69201099
536,46,073,1362677262,16727973
537,48,249,2240779987,8739522
538,02,185,230054122583,15549060273
539,18,013,808043858,12025993
540,30,029,13175685558,437273933
541,42,047,2142856004,12818652
542,16,067,1960610464,13928463
543,20,033,2041681114,3604155
544,40,083,1926521241,12926653
545,48,255,1936008329,15671661
546,17,201,1329234270,15455847
547,35,003,17933557078,14197373
548,17,187,1404747944,1674135
549,18,107,1307030239,2067987
550,30,007,3088195835,118487317
551,38,093,5754301975,197312585
552,48,143,2805417369,17169065
553,20,069,2250356170,1113338
554,49,037,20253132571,293860285
555,17,021,1837575850,16221210
556,20,189,1883595654,464936
557,23,003,17278475337,404815916
558,01,123,1855782851,128806123
559,27,009,1057483355,12286988
560,46,085,4253139884,167659050
561,51,590,110844524,2341364
562,19,099,1891760879,6578379
563,20,075,2580958328,2893322
564,29,001,1469362056,5468507
565,13,081,706189044,21457002
566,28,009,1053131406,5279183
567,48,227,2333039137,8841783
568,21,065,655509930,6516335
